sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,q1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
19,1,1283.76132179983,0,0,84702.3345768325,84703.3816825805,1,5,1,0,0,9,7,6441331,7312451,3160321,0,0,0,2171130,0,0,1190191,0,0,-3080010,1091050,4111201,0,0,0,0,0,2110200,0,2060180,0,1100141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2,721.820718186791,1,0,84705.7935296001,84706.8405964671,1,5,1,1,1,22,3,2201080,4160111,5271210,0,0,0,0,0,2201080,0,0,0,0,0,0,4160111,0,0,0,0,0,0,0,0,0,-4090200,0,1181010,0,0,0,0,0,0,0,0,0,0,0,0
19,3,1370.06187005318,1,0,84708.7112692172,84709.7583291548,1,5,1,0,1,27,7,8220323,8251211,4170161,1081031,2050091,0,0,2050071,0,0,4120161,0,0,2090070,0,0,2070101,0,0,4091040,0,0,0,0,0,0,0,0,0,0,-4170161,0,0,1081031,0,0,0,0,0,0
19,4,1290.27948078874,1,0,84712.1819294175,84713.2290132227,1,5,1,0,1,17,3,0,2071060,7211250,2021190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2071060,0,4100100,0,0,0,0,0,0,3111150,0,0,0,0,0,0,0,0,0,2021190
19,5,810.747470139177,0,0,84715.7114366752,84716.7585212503,1,5,1,1,0,4,3,2110121,0,2110111,5251322,0,0,0,-2110121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160181,0,4091141
19,6,1053.18240981433,1,0,84718.6291720576,84719.6762485486,1,5,1,1,1,32,3,0,6382122,0,2141331,0,0,0,0,0,0,0,0,0,0,0,0,0,4201041,2181081,0,0,0,0,0,0,0,0,0,0,0,0,0,1070191,0,0,-1071140,0,0,0,0
19,7,807.640450220788,0,0,84721.7586675355,84722.8057563452,1,5,1,0,0,6,7,10331332,6272282,0,8292253,0,3041051,0,4150151,0,-3140130,0,0,0,0,4201141,0,0,0,0,0,0,2071141,0,0,0,0,0,0,0,0,0,0,0,0,4020131,0,2141031,2131091,0,0
19,8,796.24060128117,1,0,84724.6528752589,84725.6999532897,1,5,1,0,1,26,3,0,4010121,4071252,1160120,0,0,0,0,0,0,0,0,0,4010121,0,0,0,0,0,0,0,0,0,0,0,3041201,0,0,0,-1030051,0,0,0,1160120,0,0,0,0,0,0
19,9,743.627986725187,1,0,84727.5705902384,84728.6176832827,1,5,1,1,1,13,7,6341252,10312431,0,6172422,0,0,3190171,3151081,0,0,0,0,0,0,4101101,4110180,-2101150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3050180,0,0,0,0,2011161,0,0,1111081
19,10,869.270775292534,0,0,84730.5706756997,84731.6177664343,1,5,1,1,0,29,7,9633451,6150321,0,6281180,0,0,4191060,0,0,3071110,0,1200150,1171131,0,3040181,0,0,3110140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4180010,0,2101170,0,0,0,0,0
19,11,795.374824068858,1,0,84733.6766516027,84734.7237388726,1,5,1,1,1,5,3,3162272,0,3131040,1021051,2141091,0,0,0,-1021181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3131040,1021051,0,0,0,0,0,0,0,0
19,12,1235.31052019098,1,0,84736.5826183436,84737.6297071534,1,5,1,0,1,3,7,5101111,4180070,13282372,3170041,0,0,-4011020,0,0,0,0,0,1090091,0,0,0,0,0,4180070,0,0,0,4011031,0,1201050,4030120,0,4040171,0,0,0,0,0,0,0,0,0,3170041,0,0
19,13,1275.59129531437,0,1,84739.9944838414,84741.0415564827,1,5,1,1,1,19,7,4100242,7373333,2110270,3161110,2060171,2040071,0,0,0,0,0,0,0,0,0,0,3181131,3161131,0,1031071,0,0,-1030200,0,1080070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3161110
19,14,1101.97698154661,0,0,84743.4769373208,84744.5240157365,1,5,1,1,0,31,3,1160160,0,3121081,6212371,0,0,1160160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3121081,0,0,0,0,0,0,0,0,0,0,0,-4201201,0,0,0,2011170,0
19,15,934.328407791327,1,0,84746.8064461953,84747.8535311554,1,5,1,1,1,11,7,9202351,7241231,3150181,4350211,3080161,0,2091040,0,0,0,0,4031150,0,0,-3070170,0,0,0,0,0,4171061,0,0,0,0,3150181,0,0,0,0,0,0,0,0,0,0,0,0,1160060,3190151
19,16,1113.83069946896,0,0,84749.9242542583,84750.9712633811,1,5,1,0,0,25,3,4030121,0,10162301,0,0,0,0,4030121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3061200,-4051070,0,3050031,0,0,0,0,0,0,0,0,0
