sub_id_2,Trial_recog,RT_recog,Resp_recog,Hit_recog,Confidence_recog,q1,q1_1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
17,1,4382.11715710349,0,1,4,0,99999,50,1,0,0,30,3,0,31923128,21300619,1011151,0,0,0,0,0,0,0,0,0,0,0,0,0,11511309,20411819,0,0,0,0,0,0,21300619,0,0,0,0,0,0,0,-1011151,0,0,0,0,0,0
17,2,3650.96811798867,0,0,3,0,99999,50,1,1,0,3,9,14250319,92312066,60821618,42811628,0,0,-4150200,10100119,0,0,0,0,0,0,20000319,0,10410219,0,31001319,30900209,0,0,0,0,0,0,30710909,30110709,0,0,0,0,0,0,31410319,0,0,11401309,0,0
17,3,1794.94428739417,1,1,5,0,99999,50,1,1,0,10,31,199847932,197499332,225357712,180357293,21412019,10601519,41010509,12000619,31400219,41011119,0,31500809,10911119,-1130100,30710119,32012019,21511219,10411709,10400519,20212009,30500919,40610719,40310509,20310419,31910109,20111109,31110719,40801519,20001309,20802019,0,41211419,11800609,12010709,11811109,30011619,0,31901419,0,41610409
17,4,3594.88585020881,1,0,3,0,99999,50,1,0,0,28,9,42822138,92311427,51323428,63422469,0,31210619,0,0,0,0,11611519,0,0,0,31210609,0,0,0,0,0,30500209,30600609,0,10611609,0,0,0,0,0,40711819,0,-2121041,0,21201409,0,0,0,0,40100019,0
17,5,2621.21063563973,1,1,4,0,99999,50,1,1,1,19,9,85721837,72313557,24721959,43321418,0,0,0,0,22010109,0,21700319,0,42011409,0,0,30510819,0,0,21100919,20701819,0,0,-3021150,0,0,0,0,0,0,21700809,0,11510909,31810509,0,0,0,0,0,0,0
17,6,2233.50490292069,0,1,1,0,99999,50,1,0,1,22,3,22000209,0,15281260,31900719,0,0,0,22000209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11111219,0,0,-4170041,0,0,0,0,0,0,0,31900719,0,0,0,0,0,0
17,7,2505.920987227,1,0,3,0,99999,50,1,0,1,4,19,94684446,206246674,123713666,114114456,0,11410919,10300219,-2151161,10400519,0,0,30210619,30211009,21410819,0,0,41511219,0,32000909,41211909,30011109,40100709,20910319,0,31500609,0,0,0,41101019,0,30201719,0,41901519,10901119,40110109,21201709,0,0,0,0
17,8,4160.66720942035,1,0,2,0,99999,50,1,0,1,31,9,51813318,103243856,31901319,32613408,30201309,0,0,21612009,0,0,0,0,0,0,30611909,0,0,30611119,0,21210119,0,20810709,0,0,31901319,0,0,0,0,0,0,0,0,0,-1001180,0,10511709,0,0,21100519
17,9,2356.64313542657,1,1,5,0,99999,50,1,1,0,14,31,248960801,176307415,268758111,186948302,31201509,31510109,30211909,41000109,21300309,30212019,21611809,10501519,31411509,0,30411719,0,31011609,-2061140,40900709,31510619,40411619,0,31110519,31711319,10610609,41200809,10400409,41301309,30401019,40111109,31911009,11101809,20411719,0,30300619,20610409,11311009,31201609,21010619,41000509
17,10,2334.17026943062,0,0,3,0,99999,50,1,1,1,2,3,32692370,0,12010819,41401219,0,-1081061,0,0,0,0,0,0,31611309,0,0,0,0,0,0,0,0,0,0,0,0,0,12010819,0,0,0,0,0,0,0,0,0,41401219,0,0,0
17,11,1321.83034578338,1,0,4,0,99999,50,1,0,0,15,31,239746512,238830322,156427194,231130221,40901119,10600909,31602009,21800509,41010019,20410809,0,31510419,41910719,41101409,30910119,21410619,40502019,30910509,-1071200,11611119,41201419,20111909,0,10600919,11301909,0,20011319,41000609,31701719,0,41810719,31512019,11002019,40601319,20300109,41401109,21801109,21810419,11000909,31701209
17,12,4037.80576377176,0,0,1,0,99999,50,1,1,0,5,19,107114207,154743565,115434565,155125075,30810509,0,30910819,0,-4181151,0,30301009,0,10910719,0,30600019,40711319,0,30811609,41810309,10810309,0,0,0,21611119,0,10911109,0,21500209,30811219,0,30600909,41401319,30011419,0,0,0,20110009,0,42001109,21601219
17,13,2242.18038306572,1,1,3,0,99999,50,1,1,0,33,19,52401138,185546022,162443865,88644466,0,0,0,0,30901119,21500019,0,0,0,0,20000819,21500219,20311919,10710519,20010909,40710609,41100719,11200309,0,40510609,40012009,0,30100209,41010019,0,10811019,0,0,0,31700509,0,31300519,-2021010,0,12011309,11611119
