sub_id_2,Trial_recog,RT_recog,Resp_recog,Hit_recog,Confidence_recog,q1,q1_1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
19,1,3626.33038405329,0,1,5,0,99999,60,1,0,1,9,3,45992979,21000209,0,31511209,0,0,0,0,41901919,0,0,0,-4091060,0,0,0,0,0,0,0,21000209,0,0,0,0,0,0,0,0,0,0,0,31511209,0,0,0,0,0,0,0
19,2,1796.34069337044,0,0,5,0,99999,60,1,1,1,28,3,0,11511609,41410319,33501269,0,0,0,0,0,0,0,0,0,0,0,0,11511609,0,0,0,0,0,0,0,0,0,0,0,41410319,0,0,-2190050,0,0,0,0,0,0,31311219,0
19,3,1396.66382956784,0,1,5,0,99999,60,1,0,1,17,3,81501028,2040050,31100419,0,0,0,0,0,40000519,0,0,0,41500509,0,0,0,0,0,0,0,-2040050,0,31100419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,2873.1246215757,1,1,1,0,99999,60,1,1,1,20,19,103016675,146854104,107393547,154513846,0,40000219,30002019,0,11001009,0,11112019,0,10901409,31511719,41500819,11410009,10510419,0,40210519,0,0,11710619,0,-2070001,40611009,31010419,0,0,0,21900109,11802009,30801619,40210509,41900609,41601109,0,0,0,0,0
19,5,1708.63580750301,0,1,5,0,99999,60,1,0,0,14,3,20400419,32293130,41800709,0,0,0,0,0,0,0,0,20400419,0,0,0,0,0,-2191111,0,0,30102019,0,0,0,0,0,0,0,0,0,41800709,0,0,0,0,0,0,0,0,0
19,6,2482.5640184572,1,0,3,0,99999,60,1,0,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41400691,0,0,0,0,0,0,0,0,0,0,0,0,0
19,7,2938.48868308123,0,1,3,0,99999,60,1,0,0,11,9,53502737,52911638,113715556,0,0,10500809,0,0,0,11200109,31801819,0,0,0,-1190010,0,0,10611619,0,41110009,0,0,0,30200319,0,20611809,0,0,31401709,0,31501719,0,0,0,0,0,0,0,0,0
19,8,1612.44830687065,0,0,4,0,99999,60,1,1,0,16,9,63112937,44672278,102903347,10900619,0,41101409,0,0,0,12001019,0,10010509,0,0,10211219,31401019,0,0,0,-3060040,0,0,0,0,0,0,40901319,20501609,0,41500419,0,0,0,0,10900619,0,0,0,0,0
19,9,2608.4658857435,0,0,5,0,99999,60,1,1,0,1,31,148384575,167547202,250268821,227769092,-2080101,10901919,31500409,10600509,0,0,20901209,40400109,32000319,0,10400809,31300109,31411609,30511909,11200409,30210219,12000419,10511719,21310809,41700919,20610719,21801119,11500209,40010219,20811009,30612009,41911809,41310909,30111219,41000319,10111809,0,21611609,21801409,21111409,40710409
19,10,2161.9731496321,0,1,3,0,99999,60,1,0,0,7,9,16100560,53102128,93922156,21022028,0,0,0,0,0,0,-4100051,12000509,0,0,0,31801909,0,0,21300219,0,0,0,40001419,0,0,11500219,0,21410209,0,0,21010309,10511019,10511009,0,0,0,0,0,0,0
19,11,2133.04641307332,1,0,3,0,99999,60,1,0,0,2,19,109834705,217146193,115023066,113214227,21810719,-4110140,11500709,0,10200909,30800709,31411519,0,0,41901209,0,31510009,0,10410719,20001609,41601109,30310519,41411019,20110219,0,0,32001219,21110609,0,0,41801019,0,31201709,0,0,0,40701509,41311009,0,0,0
