sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
11,1,590.077261906117,0,0,2260885.77988331,2260886.82695749,1,0,0,14,9,155335685,23163049,62313957,0,0,40801819,0,31211919,21801309,0,30310219,0,31210419,20112019,0,0,0,-3051030,0,0,0,0,0,10001819,0,0,0,41510519,10801619,0,0,0,0,0,0,0,0,0,0,0
11,2,713.71401892975,1,0,2260888.61523897,2260889.66228582,1,0,1,31,3,11601719,11710609,20501809,1000180,0,0,0,0,0,0,0,0,11601719,0,11710609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20501809,0,0,0,0,-1000180,0,0,0,0,0
11,3,708.641387987882,0,0,2260891.50935738,2260892.55645043,1,0,0,16,31,158228803,197498793,207955122,277361211,0,40900709,11200609,31101219,41911119,11412009,10401519,11301619,0,31111809,40401109,11900819,31110009,21811909,0,-1051020,40001609,20110509,11210719,40810419,20510519,21510619,0,21900309,41001509,10210809,40800219,30511619,31211409,40310109,40610709,20001909,41801909,30810709,10101319,32001519
11,4,695.13888284564,0,0,2260894.39176143,2260895.4388206,1,1,0,12,19,21403528,185914285,152647174,116446484,0,0,10401809,0,11001719,0,0,0,0,30310209,0,-2181030,40601919,0,32000009,0,40310309,40510809,11011009,10011109,0,0,30601609,40101009,40210419,20712019,0,0,41510209,11711619,0,10011109,10401019,0,31111609,11700919
11,5,522.814573254436,1,0,2260897.27417703,2260898.32121849,1,1,1,5,0,0,0,0,0,0,0,0,0,-10510401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,6,469.321167562157,1,0,2260899.86241702,2260900.90948311,1,1,1,27,3,52720528,0,45881879,0,0,10910019,0,0,41810509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41701709,0,0,0,-4180170,0,0,0,0,0,0,0,0,0
11,7,748.44519700855,1,0,2260902.56833302,2260903.61540258,1,0,1,35,31,185857112,231179431,115427484,226476762,20600419,30710119,0,30801219,30511909,11310409,30511419,20800609,10611009,21710409,31411919,31010809,11300919,21512019,21710319,11011119,40111209,41400709,31500709,20901209,21801419,20900619,0,10012009,10311519,0,0,40611309,40111209,30611909,21210009,30410119,20700619,20210419,-2111050,20500119
11,8,465.792615432292,0,0,2260905.48601374,2260906.53308638,1,1,0,9,3,3161160,30111809,41201909,21010219,0,0,0,0,0,0,0,0,-3161160,0,0,0,0,30111809,0,0,0,0,0,0,0,41201909,0,0,0,0,0,0,21010219,0,0,0,0,0,0,0
11,9,510.362625587732,1,1,2260908.16839785,2260909.21546625,1,0,0,1,9,34011898,82012038,54112647,71702228,-1110180,10900509,0,0,22001209,0,0,0,0,0,0,0,0,0,42001519,40010519,0,0,30810709,0,0,11501319,0,0,0,11800619,0,0,0,0,31700409,0,40001819,0,0,0
11,10,563.369440380484,0,0,2260910.81548565,2260911.86255791,1,0,0,15,19,117727794,138595007,186837393,61112118,0,10101319,0,22010419,30911209,0,21602019,21701809,11401019,21811809,0,41010919,0,31000619,-3071151,41700509,0,0,0,0,30411519,41701609,41000909,10600109,21311409,11000219,30811619,0,30110509,0,0,0,0,31001609,0,0
11,11,533.939559943974,1,0,2260913.50964226,2260914.55670489,1,0,1,11,9,61113438,115992168,63203028,51820928,0,41111719,0,0,0,20001719,0,0,0,41010319,-2170131,0,0,0,0,31611009,0,41200709,0,21601819,0,0,0,0,0,41601209,0,0,0,30810709,21010219,0,0,0,0,0
11,12,496.362750884146,1,0,2260916.13320164,2260917.18026927,1,0,1,33,3,10200519,0,20601719,24651870,0,10200519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20601719,0,0,0,0,21511709,0,0,-3140161,0,0,0
11,13,568.301559891552,0,0,2260918.82736478,2260919.87441509,1,1,0,4,9,72584668,21010519,85033137,52911928,0,0,20001109,-1061031,0,0,0,30410919,21111609,21010519,0,0,0,0,0,0,0,0,31911309,0,11910819,0,41211009,0,0,0,0,0,22011709,0,0,30900219,0,0,0,0
11,14,453.364151064307,1,0,2260921.62738372,2260922.67444674,1,1,1,22,31,149158341,236728622,231667242,108127884,31510219,10100309,20611219,21110219,11610919,20801409,11701419,10902019,10810609,40411509,30011409,20000319,31802019,0,10901219,40800709,31000619,31800819,11511009,30510319,30000919,-3110040,31411609,30711019,41901009,40810109,11701209,0,0,21701119,21602009,0,11001619,11902019,20010709,21910409
11,15,450.956220272928,0,0,2260924.21565873,2260925.2627718,1,0,0,10,3,40900419,4190111,21310409,11511419,0,0,0,0,0,0,0,0,40900419,-4190111,0,0,0,0,0,0,0,0,0,0,0,0,21310409,0,0,0,0,0,0,0,11511419,0,0,0,0,0
11,16,558.53741010651,0,0,2260926.85097213,2260927.89804361,1,1,0,13,31,236450902,231505025,225488041,246858722,21510819,30400419,30111809,0,40311219,21201309,32001909,20401409,40512009,0,31210019,40900809,-4081031,0,40800509,31300819,41700019,41511819,10401009,31010519,20711519,10610619,20011319,41210419,30911719,20610809,40010109,20111009,40510119,41011709,31901719,30901019,40200909,0,31810319,10411919
11,17,498.634790536016,1,0,2260929.50984013,2260930.55690083,1,1,1,2,9,74332847,22412018,21020518,23522028,0,-1030000,0,0,41401919,11200719,20700209,0,0,0,0,10400009,0,0,12012009,0,0,0,0,0,0,10210209,0,0,0,0,10810309,0,0,0,0,0,0,0,12011709,11510319
11,18,559.916340280324,0,0,2260932.227519,2260933.274572,1,0,0,20,31,186460102,288637021,119091935,279171841,40410809,20202009,21210619,40711609,0,10911819,30901009,10110419,12001809,40111309,30700409,41801019,22000309,31310009,40311219,30800519,31101409,20500819,0,-3160060,10710819,32000419,0,0,21510019,11010009,40700609,41712019,41912019,21701209,30811919,30810209,20111019,10211819,41400619,40501009
11,19,476.631191559136,1,0,2260934.86284047,2260935.90990118,1,1,1,21,19,173816285,117424675,157536285,81734437,0,0,41000019,31101009,0,20611819,0,40901719,40201719,0,11801719,41800519,0,11810509,11110809,40901119,0,0,30610019,20812019,-2181191,21211409,31300609,0,10810619,40610419,0,20811619,0,0,0,30011109,0,30911709,0,0
11,20,546.378418337554,1,0,2260937.48639446,2260938.55699823,1,0,1,24,19,133635265,113645265,169234225,63013866,31810809,0,0,0,0,30200709,11210719,20412019,40001009,30010409,0,10511909,0,0,21200709,30710319,0,21211919,0,31200809,41900409,0,41701619,-2020160,0,11800609,40610619,0,0,0,11500019,30501719,10601609,10410519,0,0
11,21,473.174242302775,0,0,2260940.25113558,2260941.29820861,1,1,0,3,19,154205507,82631737,136135885,195327723,0,0,-1091161,41211419,0,0,41100509,30500409,40302009,0,0,0,0,41010109,0,31510809,0,10110819,41510319,0,11102019,0,42001319,0,10910909,30611319,0,11800719,0,11511709,40401919,0,40400319,11001319,40011319,40200419
11,22,677.282083313912,1,0,2260942.80411121,2260943.85117462,1,0,1,36,19,133414466,98027993,144324985,65513157,0,0,41911119,20600419,30001719,40901209,0,0,0,20701819,12002009,0,11801009,21501119,0,11800219,10111809,10110009,0,0,40801719,31310519,11200719,0,20401219,40610809,0,0,0,21311209,20010509,0,0,22000309,0,-2191130
11,23,572.692039888352,1,0,2260945.72179617,2260946.76885918,1,1,1,29,9,31011019,61913238,71511818,63966376,0,0,31011019,0,0,0,0,0,0,31601319,0,0,0,30311919,0,0,0,0,0,0,0,0,40700609,0,0,0,30811209,20011109,-1020130,10911609,0,0,10412009,0,21611519,0
11,24,683.421440888196,0,0,2260948.36888282,2260949.41594815,1,1,0,28,31,138847402,206047413,168747502,240905883,12011419,11300409,42001209,10800109,10300809,21111819,0,10910419,20411209,40600119,11301819,20211909,40411009,0,0,31700019,41311419,20511119,0,10001609,21610219,31300909,40911609,11600919,20400909,11010619,21910709,-2150191,10511009,31100009,41310009,41401609,31211609,31910519,20300019,31010909
11,25,490.271513350308,0,0,2260951.1689083,2260952.21598018,1,1,0,18,3,0,25881810,0,41011838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21810619,0,-4071191,0,0,0,0,0,0,0,0,0,0,0,0,30001719,11010119,0,0,0,0
11,26,513.02270591259,1,0,2260953.8513159,2260954.89838276,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11601091,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,27,783.753431402147,1,0,2260976.67510194,2260977.72223695,2,1,1,28,31,138847402,206047413,168747502,240905883,12011419,11300409,42001209,10800109,10300809,21111819,0,10910419,20411209,40600119,11301819,20211909,40411009,0,0,31700019,41311419,20511119,0,10001609,21610219,31300909,40911609,11600919,20400909,11010619,21910709,-2150191,10511009,31100009,41310009,41401609,31211609,31910519,20300019,31010909
11,28,525.125878863037,1,0,2260979.59278959,2260980.63985376,2,0,1,35,9,122011847,52313856,20511809,35331730,40610319,0,41301519,40100009,0,0,0,0,0,10400919,10400819,0,0,21301609,0,10210509,0,0,0,0,0,0,0,20511809,0,0,0,0,0,0,0,0,31301609,0,-4030121,0
11,29,574.118705000728,0,0,2260982.23988587,2260983.28695158,2,0,0,1,9,34643809,0,10310419,107612084,-3030181,0,0,0,0,0,11012009,20601619,0,0,0,0,0,0,0,0,0,0,0,10310419,0,0,0,0,0,0,0,20800519,0,0,11900119,0,11700309,41210109,10200609,11800419
11,30,605.065716896206,1,0,2260984.88697214,2260985.934039,2,0,1,10,31,156239722,177610263,218027803,166427702,10711719,11610719,21101919,21110519,0,10201219,30101409,40001909,11400309,-2101171,10100009,11401809,30601509,20101919,11300709,30101509,21700309,40201319,11002019,0,40700919,41601519,0,41300609,10601009,41811609,31010119,10500419,0,11011909,31102009,30801319,10410009,41500219,20701709,10400109
11,31,604.607998393476,0,0,2260987.56935932,2260988.61642388,2,0,0,24,31,230079291,148050793,166540674,126616702,42001909,10412009,21610609,11100109,40611709,30810109,10910109,31511819,31110909,41911719,0,11810709,20712009,21401219,20711519,11101909,0,20401709,20712019,10311819,30001809,41810819,0,-1081151,11011619,10500619,41110819,11300409,22001909,10100619,21800919,20100509,10401509,0,10610809,20300019
11,32,560.047612525523,0,0,2260990.3458583,2260991.39292787,2,0,0,16,3,41510609,24111820,0,40401519,41510609,0,0,0,0,0,0,0,0,0,0,0,0,0,21011709,-3100111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40401519,0
11,33,504.983566235751,1,0,2260993.04008381,2260994.08709101,2,0,1,14,19,115224856,168096715,73333365,115023076,0,0,11400819,0,0,41601209,31110919,31111909,0,40500809,0,10700209,21201709,-3171051,20400619,40910309,31212009,0,11211109,11010319,20110609,0,20700919,10300409,0,0,0,0,0,32001619,0,0,0,20710319,41701119,20610019
11,34,403.544813394547,0,0,2260995.67533908,2260996.72240325,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10910401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,35,496.714219450951,1,0,2260998.24007835,2260999.28714136,2,1,1,29,9,31011019,61913238,71511818,63966376,0,0,31011019,0,0,0,0,0,0,31601319,0,0,0,30311919,0,0,0,0,0,0,0,0,40700609,0,0,0,30811209,20011109,-1020130,10911609,0,0,10412009,0,21611519,0
11,36,449.194253887981,1,0,2261000.96952047,2261002.01659619,2,1,1,21,19,173816285,117424675,157536285,81734437,0,0,41000019,31101009,0,20611819,0,40901719,40201719,0,11801719,41800519,0,11810509,11110809,40901119,0,0,30610019,20812019,-2181191,21211409,31300609,0,10810619,40610419,0,20811619,0,0,0,30011109,0,30911709,0,0
11,37,423.380311578512,0,0,2261003.56955565,2261004.61662175,2,0,0,15,3,0,21682020,52110728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20600909,-1081111,0,0,0,0,0,0,0,20600409,0,0,0,31510319,0,0,0,0,0,0,0,0,0
11,38,480.784534942359,1,0,2261006.09900016,2261007.14605086,2,1,1,4,9,72584668,21010519,85033137,52911928,0,0,20001109,-1061031,0,0,0,30410919,21111609,21010519,0,0,0,0,0,0,0,0,31911309,0,11910819,0,41211009,0,0,0,0,0,22011709,0,0,30900219,0,0,0,0
11,39,488.024496007711,0,0,2261008.71079283,2261009.75785661,2,1,0,22,31,149158341,236728622,231667242,108127884,31510219,10100309,20611219,21110219,11610919,20801409,11701419,10902019,10810609,40411509,30011409,20000319,31802019,0,10901219,40800709,31000619,31800819,11511009,30510319,30000919,-3110040,31411609,30711019,41901009,40810109,11701209,0,0,21701119,21602009,0,11001619,11902019,20010709,21910409
11,40,396.509651560336,1,0,2261011.44025766,2261012.48730798,2,1,1,9,3,3161160,30111809,41201909,21010219,0,0,0,0,0,0,0,0,-3161160,0,0,0,0,30111809,0,0,0,0,0,0,0,41201909,0,0,0,0,0,0,21010219,0,0,0,0,0,0,0
11,41,484.755792655051,1,0,2261013.95790581,2261015.00499501,2,1,1,12,19,21403528,185914285,152647174,116446484,0,0,10401809,0,11001719,0,0,0,0,30310209,0,-2181030,40601919,0,32000009,0,40310309,40510809,11011009,10011109,0,0,30601609,40101009,40210419,20712019,0,0,41510209,11711619,0,10011109,10401019,0,31111609,11700919
11,42,472.546370700002,0,0,2261016.60500709,2261017.65206857,2,1,0,18,3,0,25881810,0,41011838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21810619,0,-4071191,0,0,0,0,0,0,0,0,0,0,0,0,30001719,11010119,0,0,0,0
11,43,472.572548314929,1,0,2261019.29915561,2261020.34622094,2,0,1,36,3,0,51500838,0,22861410,0,0,0,0,0,0,0,0,0,0,31300619,0,0,0,0,20200219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21700219,0,0,0,-1161191
11,44,518.560754600912,1,0,2261021.89919503,2261022.94625805,2,1,1,3,19,154205507,82631737,136135885,195327723,0,0,-1091161,41211419,0,0,41100509,30500409,40302009,0,0,0,0,41010109,0,31510809,0,10110819,41510319,0,11102019,0,42001319,0,10910909,30611319,0,11800719,0,11511709,40401919,0,40400319,11001319,40011319,40200419
11,45,464.101482182741,0,0,2261024.62863176,2261025.67569324,2,0,0,20,31,225667322,284457712,195128983,195515803,31400119,0,20501009,11210209,40212009,10911219,40411619,30910219,40110919,0,20310209,40511619,30810119,40901119,40310409,30000209,41302009,40312019,10800709,-4100061,32011619,21400819,11701119,11511009,40400909,41201419,22001319,0,30900209,0,30101209,20900209,40200319,10711319,21301719,41400819
11,46,346.061963587999,1,0,2261027.16989342,2261028.22847687,2,1,1,5,0,0,0,0,0,0,0,0,0,-10510401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,47,479.338237084448,0,0,2261029.76986547,2261030.81724493,2,1,0,13,31,236450902,231505025,225488041,246858722,21510819,30400419,30111809,0,40311219,21201309,32001909,20401409,40512009,0,31210019,40900809,-4081031,0,40800509,31300819,41700019,41511819,10401009,31010519,20711519,10610619,20011319,41210419,30911719,20610809,40010109,20111009,40510119,41011709,31901719,30901019,40200909,0,31810319,10411919
11,48,506.058377213776,0,0,2261032.34638955,2261033.39343524,2,1,0,27,3,52720528,0,45881879,0,0,10910019,0,0,41810509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41701709,0,0,0,-4180170,0,0,0,0,0,0,0,0,0
11,49,489.793777000159,0,0,2261034.93464686,2261035.9817014,2,0,0,11,19,134616455,41610959,126247574,166669783,40902009,0,0,0,0,30701109,11201209,31211209,20600919,0,-1110050,0,0,0,40500909,0,0,0,0,20211019,30200809,0,21001009,11511809,0,31712009,11610919,0,0,31011009,40311709,11711809,41711509,10111419,20600819,11211509
11,50,580.15450835228,1,0,2261037.48766098,2261038.65231995,2,0,1,33,19,126515785,102516356,154635065,149645275,0,41501409,0,30512019,0,21501219,21200919,11800219,0,0,31611209,40301719,0,20101919,0,0,10501509,0,0,20500419,0,40011409,31510009,20702019,0,41911209,0,20300119,0,0,41101919,0,-4031190,41910319,11800919,30500809
11,51,536.295135971159,0,0,2261040.26414457,2261041.31121605,2,0,0,31,9,71913728,51812928,51101518,44054847,0,0,0,0,31812019,0,40101709,0,0,0,40301619,0,11511309,0,0,0,0,0,0,0,0,0,0,0,30701409,0,20400109,20111009,11802019,10100809,-2041010,0,0,0,0,0
11,52,413.106088526547,0,0,2261042.9111985,2261043.95829193,2,1,0,2,9,74332847,22412018,21020518,23522028,0,-1030000,0,0,41401919,11200719,20700209,0,0,0,0,10400009,0,0,12012009,0,0,0,0,0,0,10210209,0,0,0,0,10810309,0,0,0,0,0,0,0,12011709,11510319
11,53,614.90493407473,1,0,2261066.664457,2261067.71150462,3,0,1,35,19,116003256,64911456,217847783,113254837,0,41200119,0,41002019,0,12000509,21800609,0,0,0,21200009,11010409,20800319,0,0,0,0,11900719,31411219,40811209,10311309,21200119,40901909,31801809,41410209,0,0,30801119,0,40400119,10511509,0,0,30500919,-1041171,0
11,54,452.204648405313,1,0,2261069.52329913,2261070.59389443,3,0,1,15,31,218957513,241977633,281958431,196936503,21711119,41011709,22000919,41411419,20810519,31701109,0,40310719,0,31010009,20400819,21500409,41000419,41310709,-4141021,30611319,11301709,40701219,31410419,21901719,20710319,41200309,40601809,21210209,41311219,22010809,41601619,21700619,32011809,0,30100019,41500319,20210909,10302019,41110809,0
11,55,572.139621246606,1,0,2261072.12332123,2261073.19394386,3,1,1,2,9,74332847,22412018,21020518,23522028,0,-1030000,0,0,41401919,11200719,20700209,0,0,0,0,10400009,0,0,12012009,0,0,0,0,0,0,10210209,0,0,0,0,10810309,0,0,0,0,0,0,0,12011709,11510319
11,56,383.115575648844,0,1,2261074.92341139,2261076.01729156,3,0,1,1,9,32642909,41900619,86012946,41821538,-1031181,0,10910209,0,0,0,0,0,20701519,0,0,41900619,0,0,0,0,0,0,21200919,11701209,0,0,41500109,0,0,0,11610709,0,11310219,0,0,0,0,0,0,30511319
11,57,485.525714699179,0,0,2261077.55872555,2261078.60576932,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30511191,0,0,0,0,0,0,0,0
11,58,463.399313390255,0,0,2261080.26459536,2261081.31168224,3,1,0,28,31,138847402,206047413,168747502,240905883,12011419,11300409,42001209,10800109,10300809,21111819,0,10910419,20411209,40600119,11301819,20211909,40411009,0,0,31700019,41311419,20511119,0,10001609,21610219,31300909,40911609,11600919,20400909,11010619,21910709,-2150191,10511009,31100009,41310009,41401609,31211609,31910519,20300019,31010909
11,59,481.609121896327,1,0,2261082.81757946,2261083.86464363,3,1,1,12,19,21403528,185914285,152647174,116446484,0,0,10401809,0,11001719,0,0,0,0,30310209,0,-2181030,40601919,0,32000009,0,40310309,40510809,11011009,10011109,0,0,30601609,40101009,40210419,20712019,0,0,41510209,11711619,0,10011109,10401019,0,31111609,11700919
11,60,466.051309369504,0,0,2261085.39411932,2261086.44117156,3,1,0,22,31,149158341,236728622,231667242,108127884,31510219,10100309,20611219,21110219,11610919,20801409,11701419,10902019,10810609,40411509,30011409,20000319,31802019,0,10901219,40800709,31000619,31800819,11511009,30510319,30000919,-3110040,31411609,30711019,41901009,40810109,11701209,0,0,21701119,21602009,0,11001619,11902019,20010709,21910409
11,61,395.307418424636,0,0,2261088.06470553,2261089.11177047,3,0,0,14,3,0,3141050,73711318,30810109,0,0,0,0,0,0,0,0,0,0,0,0,0,-3141050,0,0,0,0,0,0,41900309,31811009,0,0,0,0,0,0,0,0,0,30810109,0,0,0,0
11,62,435.229795053601,0,0,2261090.61767423,2261091.66473725,3,1,0,21,19,173816285,117424675,157536285,81734437,0,0,41000019,31101009,0,20611819,0,40901719,40201719,0,11801719,41800519,0,11810509,11110809,40901119,0,0,30610019,20812019,-2181191,21211409,31300609,0,10810619,40610419,0,20811619,0,0,0,30011109,0,30911709,0,0
11,63,487.525234464556,0,0,2261093.17068913,2261094.26457415,3,0,0,36,9,52012328,92115537,62612347,23350439,40000909,0,12011419,0,0,0,0,0,0,40601919,0,0,10201609,0,0,0,0,41312009,30900119,0,0,0,0,0,20500419,11211809,0,0,21300309,0,0,0,0,0,0,-2050130
11,64,423.195915296674,1,0,2261095.77067158,2261096.81773652,3,0,1,20,3,0,0,41891379,81720838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1181170,0,0,0,0,40710209,0,0,0,40510119,0,0,0,0,41210719,0,0
