sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
7,1,724.786918377504,1,0,1839508.47008571,1839509.51716759,1,0,1,31,9,50712518,63723847,40612828,53562229,0,0,0,10711409,0,0,0,0,40001109,0,10811519,0,0,21710519,0,0,31201809,0,20001309,0,0,0,0,0,20611519,0,0,0,0,10001619,-3060001,0,0,0,40500609,0
7,2,730.69452913478,0,0,1839511.36414676,1839512.41116397,1,1,0,5,3,44141999,0,30501309,11600919,0,0,41111819,0,-3030180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30501309,0,0,0,0,0,11600919,0,0,0,0
7,3,457.075056852773,1,0,1839514.23465436,1839515.2816785,1,1,1,28,9,31110109,103624027,71212137,86463468,0,31110109,0,0,0,0,0,0,0,0,0,40911809,20711809,42000409,0,0,0,0,40410109,0,20500609,0,0,0,0,0,10301419,-4061150,0,0,0,0,41302009,0,0,41100309
7,4,497.425894951448,0,0,1839516.94046412,1839517.9874948,1,1,0,3,0,0,0,0,0,0,0,-10201691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,5,606.613527284935,1,0,1839519.59922279,1839520.64625578,1,1,1,34,19,62020837,136646733,144746675,94864046,0,20810209,30400409,0,0,0,0,10810219,0,11610219,21711119,0,10210219,40901319,20801319,11411419,20001119,0,0,10511309,0,40402019,0,12011219,0,40510719,41311409,10011219,0,40301009,11600209,0,30811509,-2140100,0,0
7,6,928.142160875723,0,0,1839522.28150681,1839523.3285321,1,1,0,6,9,57813787,94433447,30900409,21321728,0,0,0,0,22010619,-3191150,11610909,21001109,0,41111009,0,0,0,0,0,31412019,21910419,0,0,0,0,0,0,0,0,30900409,0,10510609,10811119,0,0,0,0,0,0,0
7,7,718.927042325959,1,0,1839525.31672727,1839526.36375141,1,0,1,14,3,0,45690799,40300009,31610909,0,0,0,0,0,0,0,0,0,0,0,0,0,-4080090,0,0,0,41610709,0,0,0,0,40300009,0,0,0,0,0,0,0,0,0,0,0,31610909,0
7,8,603.610061574727,1,0,1839528.1990628,1839529.24605152,1,0,1,4,19,114125407,114814856,178524484,124235255,41001509,20201019,0,-1101041,0,41510019,0,0,10311819,0,0,30511019,0,11601209,31500909,41201719,0,0,41310709,40200819,0,21900009,31901819,0,31710309,11500819,0,0,20801009,0,30911419,20211009,11211209,0,0,41100609
7,9,530.42243863456,0,0,1839530.98717336,1839532.03419826,1,0,0,1,3,24161779,0,40500719,11000419,-4161060,0,0,0,0,0,0,20000719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40500719,0,0,0,0,0,0,0,0,11000419
7,10,433.844587532803,0,0,1839533.75182016,1839534.7989005,1,1,0,19,3,40611009,33210918,1201121,0,0,0,0,0,0,0,0,40611009,0,0,0,0,11610409,0,21600509,0,0,0,-1201121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,11,468.325156020001,0,0,1839536.37527213,1839537.42230667,1,1,0,8,31,139875495,291660411,237925022,208737032,21401709,0,21210519,0,30900219,12010219,11001409,-2040001,41311419,21111519,22010719,41701819,42001609,40400409,30310309,31201109,41311009,21611909,40001819,11510509,31201019,30800119,11300409,41610909,0,41400219,30100019,40310819,30410419,40800919,41600919,11100309,21401319,0,11201209,11911119
7,12,878.43677168712,0,0,1839539.02227063,1839540.06930016,1,0,0,36,31,135634674,247068421,219239222,213298173,0,41210409,0,10700409,12002009,10310409,0,30610519,30800919,41010309,10511719,21510509,10300019,21010619,40901509,40101009,31411309,30311419,21901319,10811619,11811009,41401809,0,21611619,30800219,40800119,40101509,41601619,32000519,12000519,21310409,20201219,31010919,40311809,11711119,-3150041
7,13,619.471993064508,1,0,1839542.03397191,1839543.08101722,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31511001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,583.87580816634,1,0,1839544.73977589,1839545.78680349,1,1,1,12,3,41101418,44311840,0,0,21000209,0,0,0,0,0,20101209,0,0,0,41310709,-3001131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,15,558.697821339592,0,0,1839547.49266329,1839548.53969628,1,1,0,33,9,62013328,94434165,21610109,43631649,0,0,41601409,0,0,0,0,0,20411919,10800319,10210009,0,0,10011919,0,0,41900409,21511509,0,0,0,0,0,0,0,0,21610109,0,0,0,0,0,-3130140,40501509,0,0
7,16,535.575911169872,0,0,1839550.2337601,1839551.28078616,1,1,0,11,19,164736574,105134277,134853465,153933456,20512019,30601509,11300009,0,20000109,0,41810919,0,40512009,0,-2121201,0,0,0,20800919,20311119,41200419,20700619,20910909,41810509,10710219,30610219,30811609,0,0,0,0,30010009,0,0,0,0,41401319,0,42011319,40510809
7,17,622.489702189341,1,0,1839552.93960758,1839553.98660438,1,0,1,27,19,165837865,175937994,166684616,52212927,20611609,0,30801809,0,0,41511909,0,41011519,31901019,30400709,0,12010519,10511919,40001709,41411319,0,41601819,0,40110819,21301309,20110009,0,41111219,0,0,41910119,-2141141,0,0,11101309,0,20400009,0,20711609,0,0
7,18,626.732356846333,1,0,1839555.73956916,1839556.78656751,1,1,1,13,31,200347402,230066334,258768031,116547203,31611019,22000809,21510409,31910819,21302009,11900309,30000019,30112009,0,11800309,40201019,30110809,-3121041,41410109,21600009,0,41811619,40011419,41711519,31210219,21100019,31401609,10111409,21511509,20000919,41110219,40610609,21200809,20410519,20901619,11511419,10000109,0,22011309,10511419,0
7,19,777.676704805344,0,0,1839558.43356677,1839559.48067329,1,0,0,18,19,82023146,138767445,132124846,127214965,10102009,0,0,20710209,0,31100919,0,0,20110009,31310409,0,0,20701509,21400319,10911309,40611819,11711909,-2120171,0,41201109,0,0,0,40611809,40311809,10000119,0,11810809,40300209,0,0,12000619,21401519,0,0,41701809
7,20,534.08033773303,0,0,1839561.33937299,1839562.38639173,1,0,0,23,3,10910519,0,71802249,0,0,0,0,0,0,0,0,0,10910519,0,0,0,0,0,0,0,0,0,0,30500909,0,0,-1190131,0,40111209,0,0,0,0,0,0,0,0,0,0,0
7,21,646.098203025758,1,0,1839563.93940663,1839564.98633222,1,0,1,29,9,61312738,71123428,62422237,44303178,0,0,0,0,30401219,0,30911519,0,0,0,0,0,0,30911419,0,0,40212009,0,11601519,30810009,0,0,20010709,0,0,0,0,0,-2080060,0,30211709,0,0,0,12011409,0
7,22,470.578332431614,1,0,1839566.66865396,1839567.71568541,1,0,1,10,31,105745884,258840503,217448551,254560812,0,31800609,11601209,20311919,10910609,0,0,20310919,10810619,-3101171,30101119,41510219,40111819,20800719,31011809,20000719,31301009,40901919,30400919,20710419,10300319,40412019,41911019,10801809,12000219,20310819,30601009,41711009,40011719,40100119,41301919,30011809,0,20511509,10502009,30410719
7,23,435.459113912657,0,0,1839569.35093375,1839570.39796828,1,0,0,20,31,225850932,165230023,212706283,258245402,30611119,40811109,10301719,0,20410519,40301319,31911519,40101619,11402009,30201619,0,21800809,10400419,11711819,0,40512019,20501619,30101719,21000309,-4060191,22010809,30210119,21511809,41600019,21300109,20001009,31011909,41211019,20110909,0,41611019,20300109,20010309,31700309,42001709,41300019
7,24,389.281122013927,1,0,1839571.9508827,1839572.99790761,1,1,1,17,19,112325646,209354215,103013327,137044974,0,21101019,0,40611409,0,0,0,20111909,30501309,0,31011209,40901209,0,21810209,31600819,41010319,-3010041,40010409,0,0,0,0,30900909,0,0,41000809,31111609,11610509,10601919,0,0,20411009,31610309,21300919,41510309,0
7,25,533.541777404025,1,0,1839574.40964337,1839575.45667059,1,1,1,21,31,179869022,175937722,205598234,207036182,11212019,20110809,22011709,0,30201819,40711419,11600709,32010319,12010219,30401409,30900519,0,41900819,10011619,11700019,10211919,10700709,30110709,30100819,40910409,-1141131,20201719,21010209,30710419,30612019,0,30911509,30500609,31201609,30000409,11200519,41811409,20300309,10711209,0,31310109
7,26,544.544731499627,0,0,1839577.0095827,1839578.05660646,1,0,0,24,9,51520728,70812828,85873338,53313438,0,0,0,0,0,0,0,20110019,31410709,0,40011209,0,0,0,0,0,30801619,0,0,31802019,0,0,21600719,-2060191,30410409,0,0,0,0,0,11511819,0,0,0,0,41801619
7,27,617.141439579427,1,0,1839593.02095753,1839594.06799052,2,0,1,31,9,117125775,41300419,51900618,22091240,0,0,20811519,21501609,21301609,0,21900019,0,31611019,41300419,0,0,0,0,0,0,0,0,0,0,21800309,0,30100309,0,0,0,0,0,0,0,-1181031,0,0,0,20910209,0
7,28,567.630840465426,1,0,1839595.69148792,1839596.7385186,2,1,1,21,31,179869022,175937722,205598234,207036182,11212019,20110809,22011709,0,30201819,40711419,11600709,32010319,12010219,30401409,30900519,0,41900819,10011619,11700019,10211919,10700709,30110709,30100819,40910409,-1141131,20201719,21010209,30710419,30612019,0,30911509,30500609,31201609,30000409,11200519,41811409,20300309,10711209,0,31310109
7,29,512.818558840081,0,0,1839598.3502489,1839599.39727689,2,0,0,4,9,12832999,42030747,51500728,82913037,0,0,0,-1131180,0,0,11701819,0,0,0,20210209,0,0,0,10810419,0,11010119,0,0,0,0,0,0,0,0,30900719,20600009,21910709,20301109,0,0,0,0,40701219,0,0
7,30,401.424715295434,0,0,1839600.92664402,1839601.9736824,2,0,0,14,31,288550631,218425654,179839293,166737312,30800809,31910719,41210219,30912009,20900109,41201919,20001119,41301709,30312019,40400919,31410619,31600319,0,-1091031,30600019,21611619,20510119,41201009,0,0,22010609,41610609,30901919,41211609,20701919,12000719,11401909,20500519,20211419,30311119,20500519,20111009,0,21600009,21502009,12000709
