sub_id_2,Trial_recog,RT_recog,Resp_recog,Hit_recog,Confidence_recog,q1,q1_1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
16,1,2690.227141371,0,0,4,0,99999,80,1,1,1,5,9,42912070,82113437,74413747,51521038,0,0,0,0,-1001051,41911019,0,0,0,0,0,0,0,0,20400009,0,20611609,41101819,22001809,0,0,0,21600419,0,0,0,30811519,0,30110319,0,21410719,0,0,0,0,0
16,2,1829.48330440558,1,0,3,0,99999,80,1,0,0,27,19,117046504,42502218,149055775,115836794,0,11110619,12000019,21611919,40701519,0,10611109,0,21011319,0,0,0,0,0,0,11701709,30800509,0,40100619,20811109,32002009,0,0,41700509,10301409,0,-4140120,10401019,0,0,11511019,0,31400919,11101219,20411709,31010909
16,3,1777.83886669204,1,1,5,0,99999,80,1,1,0,29,31,208860982,206938402,189057522,170428414,30901809,0,20410409,31411809,21810909,20401909,21411919,30601909,31910309,10700809,30101419,11711609,0,41401509,40300309,21012019,21210009,30500719,30711919,11410819,21810309,21310919,21210709,30500709,40101419,12000719,0,22000409,-3170011,22011719,30311419,0,30312019,11611109,20500519,30511209
16,4,9403.75882707303,1,1,3,0,99999,80,1,1,0,25,3,61401318,0,1040190,31910219,0,0,0,0,0,0,0,41200309,20201009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1040190,0,0,0,0,31910219,0,0,0,0,0,0
16,5,1214.92469677469,1,0,4,0,99999,80,1,0,0,6,9,56311799,10710709,115224046,32222828,0,30701409,21610209,0,0,-4000181,0,0,0,0,0,10710709,0,0,0,0,0,0,32000609,0,0,10910809,30901919,41410709,0,0,0,0,0,0,0,0,20411009,11811819,0,0
16,6,1193.22290754644,1,1,4,0,99999,80,1,1,1,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,7,946.887158439495,1,0,4,0,99999,80,1,0,1,11,31,206919222,161616724,210216102,188036902,30710809,20101919,20801919,31701109,30201619,41400319,21300209,10701319,0,21310709,-2050051,21600209,31610309,0,11111619,10810909,41311709,21811209,11411209,41901219,41700809,32000419,0,10800109,41100309,10601019,20701009,31310609,20901619,10100009,10300019,21211509,31600519,31800609,30812009,0
16,8,1421.7495926423,1,1,4,0,99999,80,1,1,1,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,9,1557.60809028288,1,1,4,0,99999,80,1,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41301001,0,0,0,0,0,0
16,10,3308.2865839242,0,1,3,0,99999,80,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40111491,0,0,0,0,0,0,0,0
16,11,1254.0047786897,1,1,4,0,99999,80,1,1,1,19,19,163724484,226636284,65734848,93334876,40511809,10310609,30700619,0,10800819,0,40500409,0,30900219,40510319,0,0,31311219,0,40210009,41201309,41701909,31701519,-2011091,0,0,21111919,11800619,30811219,0,0,0,0,10201019,0,0,0,40211419,22010519,0,20911919
16,12,3381.66553259362,1,1,4,0,99999,80,1,1,1,3,31,228035884,260263501,177516883,255338542,41410909,40101819,-3080191,40310409,0,40011119,31710009,10200219,21211209,21901909,31110609,41711219,31011809,20401209,10201309,42001709,20011709,41912019,10001309,0,0,30511209,40300119,21200309,31900919,21801709,21801309,40311819,30801919,20810209,20400519,31401819,40010019,0,40000919,31601319
16,13,3483.99431543658,0,1,3,0,99999,80,1,0,0,21,19,114735555,143025975,34532299,206244823,40500309,0,0,0,30111119,11611109,0,20601509,11911509,40111709,0,0,30101219,0,20410819,11301409,41100819,0,0,0,-1020071,0,0,21911719,0,0,11600509,41301319,21410319,30311019,10010009,41310719,0,0,41000119,20901319
16,14,1962.46229397366,0,1,3,0,99999,80,1,0,0,22,9,20400319,116044446,31441259,72614137,0,0,0,20400319,0,0,0,0,0,31512019,0,0,0,41610209,20911809,22010409,0,0,0,0,0,-1031140,30410119,0,0,0,0,30311909,0,0,11800909,0,0,0,0,30501319
16,15,3389.79436823865,0,0,3,0,99999,80,1,1,0,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,16,8432.8037466621,1,0,3,0,99999,80,1,0,1,15,9,0,118154316,65314537,62612018,0,0,0,0,0,0,0,0,0,10701409,0,31401109,0,41410409,-4041080,0,0,30600309,21701509,11712019,0,0,0,31901009,0,0,0,0,21501009,0,0,0,0,0,0,41111009
16,17,3350.36127717467,0,1,3,0,99999,80,1,0,1,9,31,201218212,176157693,226856422,198651402,10900319,41401409,31600809,21000719,10410909,41201309,20500809,20010909,-4191020,21111219,40301209,11811609,32010119,0,0,20411809,40501719,10010009,11010619,0,30800419,40611309,42000419,20010609,41511019,30601309,10310719,11201109,21610419,0,11811919,31010709,40901719,21311809,40701909,20101809
16,18,2566.71357189771,1,1,3,0,99999,80,1,1,0,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,19,1707.65201427275,1,1,3,0,99999,80,1,1,1,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,20,1267.66665821197,1,0,3,0,99999,80,1,0,1,26,3,51611428,0,4010080,11411119,0,10310509,0,0,0,0,41300919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4010080,0,0,0,0,0,0,0,11411119,0,0
16,21,2071.72422372969,0,0,3,0,99999,80,1,1,0,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
16,22,1952.52953126328,0,1,4,0,99999,80,1,0,1,2,19,73782798,226045422,83514856,104625245,0,-3181070,0,0,0,40001109,0,30600619,0,31310409,10400919,0,10200819,40800109,41501119,30311019,41410619,20110409,30001809,0,21411119,0,0,0,0,21301819,10800109,11311209,0,30800709,30810009,0,10701409,0,21001909,0
16,23,2237.32596007176,0,1,3,0,99999,80,1,0,1,35,31,147537693,240049141,226756203,262909372,10510019,0,22011809,10410809,21801919,0,31101319,10701809,41000009,31600319,12001709,21401919,31110719,20311219,41810219,10200709,31601719,40010609,11310719,0,32001319,0,21200709,40110519,40012009,41110809,41010119,12010819,40000719,41801919,30910309,41811219,40711409,41611719,-3040050,11011209
16,24,3025.58087813668,0,1,3,0,99999,80,1,0,0,12,3,12010209,1051101,0,53102618,12010209,0,0,0,0,0,0,0,0,0,0,-1051101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31900909,0,0,21201709,0
16,25,4731.06841964182,0,0,3,0,99999,80,1,1,0,1,19,54622989,209435993,207156894,124035836,-3111161,41400309,0,0,0,0,10111519,0,0,0,21400919,21500709,40610609,0,41502019,11610509,32000509,40810719,41410609,41811219,22011419,40302009,21310819,0,0,0,40310819,0,40112009,0,30200609,41711809,12011409,0,0,0
16,26,963.204883679282,1,0,3,0,99999,80,1,0,1,36,3,0,61122028,10302019,4160121,0,0,0,0,0,0,0,0,0,0,30111119,0,0,31010909,0,0,0,0,0,0,0,0,0,0,0,0,10302019,0,0,0,0,0,0,0,0,-4160121
16,27,1066.01409777068,1,1,3,0,99999,80,2,1,1,14,9,101902347,2121090,105332537,73023957,41101719,20500419,0,0,0,40300209,0,0,0,0,0,0,0,-2121090,0,0,0,0,0,31910209,31412009,0,0,0,42010319,0,0,0,0,21710919,0,0,0,40301519,11011519,0
16,28,925.819399941247,0,0,3,0,99999,80,2,1,0,5,9,42912070,82113437,74413747,51521038,0,0,0,0,-1001051,41911019,0,0,0,0,0,0,0,0,20400009,0,20611609,41101819,22001809,0,0,0,21600419,0,0,0,30811519,0,30110319,0,21410719,0,0,0,0,0
16,29,2059.8839794402,1,1,3,0,99999,80,2,1,1,32,3,0,41711109,42510418,4011071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41711109,0,0,20800409,0,0,0,0,0,0,21710009,0,0,0,0,0,-4011071,0,0,0,0
16,30,3069.68739529839,0,0,3,0,99999,80,2,1,0,8,31,142587034,178868141,195068712,219345722,11500819,10301309,11910909,41901619,21211509,0,0,-4050160,41710709,10900519,11711119,30100719,31910819,11010619,10912019,30510809,30300809,11510709,10311009,10910809,42001419,20110019,30111309,40801409,10611519,0,30211219,40710409,30610119,41701019,20311309,20400619,11801019,31911109,21900119,0
16,31,6149.82163888635,0,0,3,0,99999,80,2,1,0,7,9,2120171,84312266,92402047,63102128,0,0,0,0,0,0,-2120171,0,0,0,30500219,0,0,0,21300819,11611209,20900019,0,31400319,0,0,0,0,0,0,20000809,41000919,0,0,0,0,0,0,41900919,0,21201209
16,32,6645.43385384604,1,0,3,0,99999,80,2,0,0,35,31,147537693,240049141,226756203,262909372,10510019,0,22011809,10410809,21801919,0,31101319,10701809,41000009,31600319,12001709,21401919,31110719,20311219,41810219,10200709,31601719,40010609,11310719,0,32001319,0,21200709,40110519,40012009,41110809,41010119,12010819,40000719,41801919,30910309,41811219,40711409,41611719,-3040050,11011209
16,33,1498.09543543961,1,1,5,0,99999,80,2,1,1,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41301001,0,0,0,0,0,0
16,34,2885.10015426436,0,1,2,0,99999,80,2,0,1,12,3,12010209,1051101,0,53102618,12010209,0,0,0,0,0,0,0,0,0,0,-1051101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31900909,0,0,21201709,0
16,35,2980.78412597533,1,0,3,0,99999,80,2,0,0,15,9,0,118154316,65314537,62612018,0,0,0,0,0,0,0,0,0,10701409,0,31401109,0,41410409,-4041080,0,0,30600309,21701509,11712019,0,0,0,31901009,0,0,0,0,21501009,0,0,0,0,0,0,41111009
16,36,1776.68513864046,1,1,3,0,99999,80,2,1,1,1,19,54622989,209435993,207156894,124035836,-3111161,41400309,0,0,0,0,10111519,0,0,0,21400919,21500709,40610609,0,41502019,11610509,32000509,40810719,41410609,41811219,22011419,40302009,21310819,0,0,0,40310819,0,40112009,0,30200609,41711809,12011409,0,0,0
16,37,1022.23710721591,1,1,3,0,99999,80,2,1,0,3,31,228035884,260263501,177516883,255338542,41410909,40101819,-3080191,40310409,0,40011119,31710009,10200219,21211209,21901909,31110609,41711219,31011809,20401209,10201309,42001709,20011709,41912019,10001309,0,0,30511209,40300119,21200309,31900919,21801709,21801309,40311819,30801919,20810209,20400519,31401819,40010019,0,40000919,31601319
16,38,880.50410541473,0,1,3,0,99999,80,2,0,1,27,19,117046504,42502218,149055775,115836794,0,11110619,12000019,21611919,40701519,0,10611109,0,21011319,0,0,0,0,0,0,11701709,30800509,0,40100619,20811109,32002009,0,0,41700509,10301409,0,-4140120,10401019,0,0,11511019,0,31400919,11101219,20411709,31010909
16,39,1651.04388992768,0,1,3,0,99999,80,2,0,1,21,19,114735555,143025975,34532299,206244823,40500309,0,0,0,30111119,11611109,0,20601509,11911509,40111709,0,0,30101219,0,20410819,11301409,41100819,0,0,0,-1020071,0,0,21911719,0,0,11600509,41301319,21410319,30311019,10010009,41310719,0,0,41000119,20901319
16,40,2437.33589205658,1,0,4,0,99999,80,2,0,0,9,31,201218212,176157693,226856422,198651402,10900319,41401409,31600809,21000719,10410909,41201309,20500809,20010909,-4191020,21111219,40301209,11811609,32010119,0,0,20411809,40501719,10010009,11010619,0,30800419,40611309,42000419,20010609,41511019,30601309,10310719,11201109,21610419,0,11811919,31010709,40901719,21311809,40701909,20101809
16,41,6006.46448670886,1,0,3,0,99999,80,2,0,1,6,9,56311799,10710709,115224046,32222828,0,30701409,21610209,0,0,-4000181,0,0,0,0,0,10710709,0,0,0,0,0,0,32000609,0,0,10910809,30901919,41410709,0,0,0,0,0,0,0,0,20411009,11811819,0,0
16,42,1178.98936098209,1,0,3,0,99999,80,2,0,0,36,3,0,61122028,10302019,4160121,0,0,0,0,0,0,0,0,0,0,30111119,0,0,31010909,0,0,0,0,0,0,0,0,0,0,0,0,10302019,0,0,0,0,0,0,0,0,-4160121
16,43,5030.46449291287,1,0,3,0,99999,80,2,0,0,11,31,206919222,161616724,210216102,188036902,30710809,20101919,20801919,31701109,30201619,41400319,21300209,10701319,0,21310709,-2050051,21600209,31610309,0,11111619,10810909,41311709,21811209,11411209,41901219,41700809,32000419,0,10800109,41100309,10601019,20701009,31310609,20901619,10100009,10300019,21211509,31600519,31800609,30812009,0
16,44,990.237612335477,1,1,3,0,99999,80,2,1,0,19,19,163724484,226636284,65734848,93334876,40511809,10310609,30700619,0,10800819,0,40500409,0,30900219,40510319,0,0,31311219,0,40210009,41201309,41701909,31701519,-2011091,0,0,21111919,11800619,30811219,0,0,0,0,10201019,0,0,0,40211419,22010519,0,20911919
16,45,1330.01570543274,0,0,3,0,99999,80,2,1,1,34,3,0,32801018,0,14983149,0,0,0,0,0,0,0,0,0,12001009,0,0,0,20800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11802019,0,0,-3181130,0,0
16,46,735.964353138115,1,0,3,0,99999,80,2,0,0,2,19,73782798,226045422,83514856,104625245,0,-3181070,0,0,0,40001109,0,30600619,0,31310409,10400919,0,10200819,40800109,41501119,30311019,41410619,20110409,30001809,0,21411119,0,0,0,0,21301819,10800109,11311209,0,30800709,30810009,0,10701409,0,21001909,0
16,47,2056.59679777455,1,1,3,0,99999,80,2,1,0,13,19,77936265,138475295,122031966,133937985,0,0,21711409,11711919,20600019,0,12011409,0,11901509,41710109,0,21301909,-4051150,30400609,0,0,10800209,30211309,40600919,0,0,10810219,0,0,0,30210309,40410519,0,0,0,10311519,31101519,31502019,30311419,30711509,0
16,48,981.798113149125,0,1,4,0,99999,80,2,0,1,22,9,20400319,116044446,31441259,72614137,0,0,0,20400319,0,0,0,0,0,31512019,0,0,0,41610209,20911809,22010409,0,0,0,0,0,-1031140,30410119,0,0,0,0,30311909,0,0,11800909,0,0,0,0,30501319
16,49,1827.81411363976,0,1,3,0,99999,80,2,0,0,26,3,51611428,0,4010080,11411119,0,10310509,0,0,0,0,41300919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4010080,0,0,0,0,0,0,0,11411119,0,0
16,50,2992.68904369092,0,0,3,0,99999,80,2,1,1,29,31,208860982,206938402,189057522,170428414,30901809,0,20410409,31411809,21810909,20401909,21411919,30601909,31910309,10700809,30101419,11711609,0,41401509,40300309,21012019,21210009,30500719,30711919,11410819,21810309,21310919,21210709,30500709,40101419,12000719,0,22000409,-3170011,22011719,30311419,0,30312019,11611109,20500519,30511209
16,51,1758.35483748233,1,0,4,0,99999,80,2,0,1,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40111491,0,0,0,0,0,0,0,0
16,52,7718.20340928389,1,1,3,0,99999,80,2,1,1,25,3,61401318,0,1040190,31910219,0,0,0,0,0,0,0,41200309,20201009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1040190,0,0,0,0,31910219,0,0,0,0,0,0
