sub_id,Trial,RT,Resp,Error,Fix_onset,Disp_onset,q1,q2,block,repeat,tid,tloc,d_setsize,quad1,quad2,quad3,quad4,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9,loc10,loc11,loc12,loc13,loc14,loc15,loc16,loc17,loc18,loc19,loc20,loc21,loc22,loc23,loc24,loc25,loc26,loc27,loc28,loc29,loc30,loc31,loc32,loc33,loc34,loc35,loc36
10,1,1114.15544059128,1,0,288186.044296031,288187.091372137,0,4,1,0,1,24,0,4001091,4250282,10321311,6070190,0,0,0,4001091,0,0,0,0,0,0,0,3060201,0,0,0,0,0,1190081,0,0,3000201,0,4191080,-3130030,0,0,0,0,0,0,0,0,0,2040050,4030140,0
10,2,606.905855762307,1,0,288189.291397852,288190.338514379,0,4,1,1,1,17,0,5061160,4190081,0,8673202,0,0,0,2010040,0,0,0,0,3051120,0,0,0,3080051,0,0,0,-1110030,0,0,0,0,0,0,0,0,0,0,3151011,0,0,1151070,0,1201111,0,3170010,0
10,3,1045.01568200067,0,0,288192.103190823,288193.150254226,0,4,1,0,0,19,5,75254429,16041549,92065059,2121170,31310709,40711509,2181201,0,0,0,0,0,1051010,0,0,0,0,0,2010090,10000309,0,4031150,-3091030,41201919,3110050,41510919,0,0,3151141,0,0,0,0,0,0,2121170,0,0,0,0
10,4,1246.42340728315,1,0,288195.373821459,288196.420887941,0,4,1,0,1,3,0,10393421,8142471,4181200,1101101,0,0,-4111151,0,4131120,0,0,0,2151150,0,2050200,0,0,0,3051180,0,3041091,0,0,0,0,4181200,0,0,0,0,0,0,0,0,1101101,0,0,0,0,0
10,5,867.11598286638,0,0,288198.715031222,288199.762097319,0,4,1,0,0,26,10,35363829,6253292,105095088,116474806,0,0,0,0,0,4051101,0,20511409,10801319,0,0,0,0,4101160,1001071,0,0,1151061,12000819,2201171,4170151,21001219,0,21000419,0,-4121200,40600109,3061150,40600209,20501319,0,0,0,30500409,21811719,0
10,6,1299.42945193034,1,0,288201.632712709,288202.679778422,0,4,1,0,1,31,20,121433986,87605435,101075458,187576675,3000161,0,4110050,21111009,0,10711319,20300119,41301309,20900019,11900009,10001409,0,11411509,0,3080180,0,41201019,10011309,4200100,20712009,2091141,21310019,1060171,31600509,0,20101509,0,31611219,41112019,30500219,-1010060,1041001,41201319,20900219,0,20200619
10,7,1307.81043699244,1,0,288205.009210304,288206.05628487,0,4,1,1,1,30,20,137403456,159914764,191928696,60265420,21711019,40200009,21510819,0,41300419,2181071,10500119,0,0,0,3110061,30600119,32000619,10800509,40100309,11301809,21201219,10800119,4101061,2081071,40700619,11000809,40911009,41611609,0,30212009,21310509,20702009,0,-3021171,0,3050170,1161181,0,31200709,1130180
10,8,1649.2773538921,0,0,288208.385726376,288209.432790549,0,4,1,0,0,6,20,163175095,74755947,117404366,183766296,20201209,41711509,41410619,20500209,20400019,-4110190,3141031,0,11700309,0,0,21411009,0,10310609,2111101,30711819,0,10211409,21210619,20810909,31501309,1010000,0,0,0,40700409,2171120,40601619,3150101,31111719,30300119,21910309,2111160,10811019,2060031,41710219
10,9,1157.7276319731,0,0,288212.150474808,288213.197537056,0,4,1,1,0,2,10,68762768,43792818,146627274,11511493,40400819,-3190140,0,21010619,4161190,0,0,0,0,0,0,31701619,1191180,0,0,10900019,0,0,41501309,10100109,0,41701709,0,11911819,10011019,31401309,0,0,0,3070071,3061020,2060070,0,1140151,2180181,0
10,10,1582.01235521119,1,0,288215.479918624,288216.526981642,0,4,1,0,1,5,0,3211251,2180212,7190071,3401212,1081181,0,0,0,-2130070,0,0,0,0,0,0,0,0,0,0,0,1000171,1180041,0,3070050,0,4120021,0,0,0,0,0,0,2201091,0,0,0,1200121,0,0,0
10,11,1255.36951510003,0,0,288219.244666671,288220.291728534,0,4,1,1,0,25,20,96675826,168267344,78975090,179188754,0,0,0,3041180,20310419,20711309,41101509,0,11511409,30601519,0,2121150,30610719,40501209,11911109,42011119,10510519,0,4170120,3081200,3001171,31100309,0,10000209,-3151031,4071041,20400009,30000809,21401419,3171061,31800809,20301509,41401219,20010319,0,11101609
10,12,810.134446364827,0,0,288222.738822579,288223.785885981,0,4,1,1,0,32,10,97653909,47812021,128003497,77504249,2111001,40901009,11200409,40311209,0,0,0,1010131,2120150,0,0,2110091,0,4191111,0,0,41510819,0,0,41310719,0,0,0,0,40700919,4181050,41810809,20200209,0,0,2081111,-4111001,0,0,40901619,10210309
10,13,2277.3442416219,1,0,288225.656502527,288226.703563235,0,4,1,0,1,11,10,107205079,18784351,24921609,138345866,41311109,30611109,0,0,2011121,2161121,31110619,0,0,11401819,-1031140,3160101,2031091,0,0,0,1160200,0,0,0,20811519,0,0,4110090,0,0,0,0,0,41601909,41611019,10411219,31410219,0,2000091,11311409
10,14,2356.74628941342,0,0,288230.12713578,288231.174196873,0,4,1,0,0,1,10,127534565,86144187,4051331,71904628,-4140100,4100070,0,42001019,3050130,30310709,11311309,10910319,21710909,0,0,0,3130050,11100609,0,30611609,41301919,0,0,0,0,0,0,2030181,0,1000030,1021120,30311809,0,0,1181110,0,0,0,40411709,0
10,15,1046.94741615094,0,0,288234.597768648,288235.644835515,0,4,1,1,0,10,5,45231659,26991840,90555560,1151100,30400119,4030031,0,0,0,0,0,0,10801509,-2190001,0,0,20700809,0,0,0,0,4101030,40301219,0,1091200,1010090,3180051,3071191,41901809,0,0,0,0,0,0,0,1151100,0,0,0
10,16,708.467796386685,1,0,288237.868391584,288238.915459606,0,4,1,1,1,27,20,137234584,206608325,136996636,85904576,0,31210109,0,10301619,21710219,11301109,21511519,41200009,0,30900809,40301409,4101040,41511319,42011119,10800909,30811609,2160000,4010111,11600919,40012009,0,40801519,0,40411109,0,0,-4171080,2080170,10001609,20311309,4090200,0,21110019,4090060,4020100,20201109
10,17,528.394607594237,0,0,288240.77430828,288241.821374377,0,4,1,0,0,20,5,63103288,31324111,48895241,43702370,0,1201160,41001019,0,20901109,0,0,0,0,0,4090071,0,3011091,3121130,0,0,0,21101819,3131090,-3021031,0,0,0,0,0,41602019,1141101,0,0,0,0,40511209,0,0,0,3191161
10,18,1202.97016890254,0,0,288243.45669162,288244.503753867,0,4,1,0,0,7,5,40382291,24592029,35390580,45554208,0,4050080,0,31100909,0,0,-4120201,1111101,0,0,0,20411919,0,0,4180110,0,0,0,4120050,0,0,0,0,1060021,0,0,30210509,0,1201200,11400509,0,30801319,2151180,0,0,0
10,19,1062.30543373385,1,0,288246.821431737,288247.868500913,0,4,1,1,1,12,0,5231240,1070150,10370482,3191370,4071160,0,0,1160080,0,0,0,0,0,0,0,-1070150,0,0,0,0,0,0,0,4120131,0,0,0,0,4060181,2190170,0,0,1101170,0,0,2090200,0,0,0,0
10,20,981.209172692616,0,0,288250.021461302,288251.068534328,0,4,1,1,0,14,10,95302157,90226528,83964178,48803231,31110709,0,31210219,0,0,0,30810209,0,2171020,0,21501519,0,1151151,-4170000,40101119,0,20111619,3191120,0,1040041,0,0,10600709,32011919,0,40311509,0,0,0,0,41612019,0,0,1100001,2011041,4080170
